Pais,Ano,Quantidade (kg),Valor (US$)
Antilhas Holandesas,1970,280.0,207.0
Estados Unidos,1970,11200.0,4200.0
Guiana,1970,114.0,36.0
Tanzânia,1970,13692.0,3562.0
Libéria,1970,4160.0,1190.0
Bolívia,1970,2548.0,699.0
Outros(1),1970,5132.0,3208.0
Paraguai,1970,90261.0,24132.0
Colômbia,1970,14205.0,6650.0
Trinidade e Tobago,1971,7896.0,2579.0
Estados Unidos,1971,22400.0,8400.0
Bolívia,1971,9450.0,2908.0
"Alemanha, República Democrática",1971,135.0,103.0
França,1971,220.0,110.0
Antilhas Holandesas,1971,4800.0,3705.0
Colômbia,1971,3780.0,2475.0
Canadá,1971,1250.0,625.0
Venezuela,1971,3200.0,2000.0
Paraguai,1971,237965.0,64161.0
Venezuela,1972,1350.0,750.0
Barbados,1972,840.0,600.0
El Salvador,1972,4113.0,1931.0
Portugal,1972,1128.0,350.0
Japão,1972,84.0,60.0
Suíça,1972,126.0,90.0
Colômbia,1972,1294.0,771.0
Reino Unido,1972,198.0,159.0
"Alemanha, República Democrática",1972,4168.0,2630.0
França,1972,244.0,147.0
Bolívia,1972,35008.0,11632.0
"Alemanha, República Democrática da",1972,9962.0,6514.0
Belice,1972,450.0,260.0
Estados Unidos,1972,140297.0,74156.0
Outros(1),1972,1200.0,579.0
Antilhas Holandesas,1972,4125.0,2881.0
Paraguai,1972,293836.0,85188.0
Países Baixos,1972,2000.0,1200.0
Haiti,1972,1008.0,720.0
Guiana,1972,252.0,180.0
Porto Rico,1972,3159.0,986.0
Japão,1973,62710.0,57838.0
Antilhas Holandesas,1973,144.0,135.0
Honduras,1973,800.0,550.0
Venezuela,1973,11700.0,6458.0
Noruega,1973,29835.0,14172.0
Colômbia,1973,3050.0,2370.0
República Dominicana,1973,1128.0,416.0
"Alemanha, República Democrática",1973,12000.0,8250.0
Países Baixos,1973,6808.0,1803.0
Outros(1),1973,144.0,102.0
França,1973,11399.0,8593.0
Estados Unidos,1973,255771.0,155883.0
Barbados,1973,10905.0,6383.0
"Alemanha, República Democrática da",1973,238418.0,160979.0
Trinidade Tobago,1973,336.0,300.0
Paraguai,1973,411234.0,166777.0
El Salvador,1973,1015.0,374.0
Haiti,1973,1008.0,811.0
Bolívia,1973,62184.0,16886.0
França,1974,3977.0,3959.0
Portugal,1974,192.0,92.0
Canadá,1974,20754.0,19314.0
Bélgica,1974,2000.0,1846.0
Trinidade Tobago,1974,612.0,563.0
Colômbia,1974,4752.0,5220.0
"Alemanha, República Democrática",1974,3840.0,3293.0
Japão,1974,174293.0,185358.0
México,1974,4055.0,3052.0
Barbados,1974,7682.0,5246.0
Bolívia,1974,10140.0,5894.0
Venezuela,1974,9830.0,5250.0
Estados Unidos,1974,336409.0,231744.0
Países Baixos,1974,85.0,68.0
Paraguai,1974,257367.0,129469.0
Canadá,1975,3564.0,3330.0
Paraguai,1975,398363.0,177683.0
Antilhas Holandesas,1975,1800.0,1600.0
Noruega,1975,111.0,101.0
França,1975,2920.0,2704.0
"Alemanha, República Democrática da",1975,86.0,68.0
Barbados,1975,6741.0,6265.0
Bolívia,1975,13847.0,7762.0
Japão,1975,160148.0,165440.0
Honduras,1975,400.0,340.0
El Salvador,1975,389.0,386.0
Venezuela,1975,4050.0,2488.0
Estados Unidos,1975,746612.0,324620.0
El Salvador,1976,2923.0,4029.0
Canadá,1976,161806.0,145516.0
Dinamarca,1976,2160.0,1642.0
Suécia,1976,9450.0,7020.0
Bélgica,1976,200.0,260.0
Barbados,1976,9792.0,10302.0
Canada,1976,400.0,515.0
Bolívia,1976,66012.0,17645.0
Suíça,1976,120.0,114.0
Estados Unidos,1976,348382.0,178441.0
Paraguai,1976,556050.0,223547.0
Outros(1),1976,1544.0,2726.0
França,1976,1088.0,1094.0
Canadá,1977,36288.0,29349.0
Trinidade e Tobago,1977,2475.0,1573.0
Bolívia,1977,4221.0,2877.0
Países Baixos,1977,335.0,260.0
Panamá,1977,450.0,350.0
Barbados,1977,9842.0,11431.0
"Alemanha, República Democrática da",1977,200000.0,136000.0
Uruguai,1977,1384.0,720.0
"Alemanha, República Democrática",1977,360.0,306.0
Finlândia,1977,291350.0,222864.0
Suíça,1977,160.0,184.0
Canada,1977,1200.0,1747.0
Paraguai,1977,548764.0,286273.0
França,1977,2240.0,2790.0
Estados Unidos,1977,701361.0,355949.0
Trinidade Tobago,1977,2520.0,1813.0
Venezuela,1977,3240.0,2760.0
Suécia,1977,464692.0,289359.0
El Salvador,1977,45.0,37.0
Bélgica,1977,240.0,240.0
Finlândia,1978,247820.0,215972.0
Uruguai,1978,13396.0,5128.0
Paraguai,1978,399467.0,234532.0
Estados Unidos,1978,765602.0,742092.0
Países Baixos,1978,986.0,715.0
Venezuela,1978,4590.0,4590.0
Suécia,1978,726130.0,607102.0
"Alemanha, República Democrática",1978,11700.0,11905.0
França,1978,2080.0,2016.0
Suíça,1978,25.0,33.0
El Salvador,1978,1630.0,1634.0
"Alemanha, República Democrática da",1978,100000.0,81000.0
Bélgica,1978,4930.0,5001.0
Barbados,1978,11141.0,12535.0
Trinidade e Tobago,1978,27135.0,10996.0
Hong Kong,1978,275.0,171.0
Bolívia,1978,1654.0,1323.0
Canada,1978,600.0,975.0
Nigéria,1978,259.0,405.0
Trinidade Tobago,1978,3844.0,2931.0
Reino Unido,1978,2620.0,2668.0
Outros(1),1978,113.0,176.0
Canadá,1978,112030.0,160677.0
Japão,1978,3608.0,6255.0
Guine Bissau,1978,122.0,72.0
Venezuela,1979,1620.0,1944.0
Trinidade Tobago,1979,4074.0,3050.0
Reino Unido,1979,49502.0,50692.0
Suécia,1979,1007841.0,1129727.0
Argentina,1979,3252.0,4359.0
Barbados,1979,13746.0,10220.0
Paraguai,1979,545281.0,287005.0
"Alemanha, República Democrática",1979,26900.0,33140.0
Costa do Marfim,1979,24.0,276.0
Noruega,1979,60451.0,70730.0
Canadá,1979,283007.0,377261.0
Finlândia,1979,330620.0,304568.0
Outros(1),1979,1040.0,509.0
Antilhas Holandesas,1979,7500.0,2088.0
Uruguai,1979,31374.0,12285.0
Países Baixos,1979,72346.0,125511.0
França,1979,6381.0,8700.0
Canada,1979,600.0,1125.0
Ilhas Virgens,1979,5500.0,1592.0
El Salvador,1979,28.0,57.0
Trinidade e Tobago,1979,26905.0,12700.0
Japão,1979,2760.0,1932.0
Angola,1979,3466512.0,2388563.0
Bolívia,1979,10740.0,6464.0
Bélgica,1979,25.0,32.0
Estados Unidos,1979,805517.0,744627.0
Gana,1979,355.0,841.0
Dinamarca,1979,1865.0,2202.0
Suíça,1979,10281.0,12997.0
"Alemanha, República Democrática da",1979,100265.0,108718.0
França,1980,910.0,1272.0
Canada,1980,1800.0,4200.0
Trinidade Tobago,1980,9684.0,6807.0
Bolívia,1980,14719.0,12614.0
Noruega,1980,19875.0,26831.0
Angola,1980,1682244.0,1118023.0
Finlândia,1980,273852.0,298197.0
"Alemanha, República Democrática",1980,26075.0,35275.0
Chile,1980,19000.0,23050.0
Paraguai,1980,499310.0,340127.0
Reino Unido,1980,75285.0,72270.0
"Alemanha, República Democrática da",1980,72875.0,92915.0
Venezuela,1980,5047.0,6745.0
Estados Unidos,1980,800346.0,882210.0
Canadá,1980,642317.0,329349.0
Barbados,1980,22598.0,23057.0
Senegal,1980,284.0,556.0
Antilhas Holandesas,1980,11773.0,6586.0
Outros(1),1980,1786.0,1439.0
Trinidade e Tobago,1980,9504.0,8880.0
Costa do Marfim,1980,60.0,118.0
Japão,1980,72870.0,114755.0
Argentina,1980,60900.0,127380.0
Bélgica,1980,1100.0,1490.0
Países Baixos,1980,128171.0,148060.0
Suriname,1980,1120.0,1044.0
Guatemala,1980,86.0,258.0
Suécia,1980,1321305.0,1560336.0
Suíça,1980,7965.0,10590.0
Uruguai,1980,7877.0,7763.0
Libéria,1981,4083.0,5640.0
Estados Unidos,1981,776499.0,669965.0
Bolívia,1981,37498.0,49574.0
Reino Unido,1981,114125.0,181224.0
Outros(1),1981,1009.0,1425.0
Finlândia,1981,20675.0,26443.0
Canadá,1981,513600.0,536431.0
Guiana Francesa,1981,80.0,161.0
Costa do Marfim,1981,125.0,154.0
Barbados,1981,17290.0,18804.0
"Alemanha, República Democrática da",1981,352920.0,436952.0
Países Baixos,1981,18245.0,25852.0
Chile,1981,61985.0,71601.0
Paraguai,1981,466657.0,321528.0
Canada,1981,825.0,1875.0
Espanha,1981,54.0,65.0
Suíça,1981,14600.0,22310.0
Venezuela,1981,5300.0,7610.0
Haiti,1981,7674.0,10997.0
Tanzânia,1981,2064.0,4457.0
Iraque,1981,6000.0,7705.0
Bélgica,1981,64157.0,111484.0
Suécia,1981,766645.0,996862.0
"Alemanha, República Democrática",1981,137426.0,229312.0
Senegal,1981,178.0,369.0
França,1981,22045.0,36455.0
Japão,1981,1800.0,1580.0
Australia,1981,5766.0,5797.0
Argentina,1981,7200.0,14700.0
Finlândia,1982,40250.0,38924.0
Iraque,1982,1166.0,828.0
Itália,1982,8029.0,12060.0
Cingapura,1982,19200.0,11041.0
Gana,1982,8300.0,24844.0
Bolívia,1982,11160.0,9934.0
Canadá,1982,592363.0,675531.0
Canada,1982,825.0,1875.0
Outros(1),1982,219.0,490.0
Suécia,1982,1006639.0,1164590.0
Reino Unido,1982,77070.0,100695.0
Chile,1982,1080.0,802.0
Bélgica,1982,55055.0,89366.0
Barbados,1982,1201.0,2157.0
Dinamarca,1982,5840.0,9114.0
"Alemanha, República Democrática",1982,129799.0,198667.0
Benin,1982,8300.0,24250.0
Suíça,1982,31954.0,53970.0
China,1982,4825.0,6276.0
Israel,1982,10470.0,10615.0
Senegal,1982,6676.0,10128.0
Paraguai,1982,468480.0,289173.0
Australia,1982,45764.0,49316.0
Estados Unidos,1982,907924.0,790966.0
Países Baixos,1982,152543.0,164250.0
Paquistão,1982,1500.0,2419.0
Malásia,1982,134.0,220.0
Argentina,1982,80000.0,70000.0
"Alemanha, República Democrática da",1982,83200.0,91520.0
Japão,1982,111739.0,154822.0
Tanzânia,1982,180.0,285.0
Venezuela,1982,13280.0,19278.0
França,1982,92546.0,153234.0
Panamá,1982,117.0,152.0
Áustria,1983,90.0,90.0
Outros(1),1983,60.0,125.0
Peru,1983,9378.0,12044.0
Itália,1983,4158.0,5132.0
Noruega,1983,163.0,120.0
Barbados,1983,3522.0,3332.0
Paraguai,1983,579450.0,279111.0
Países Baixos,1983,273882.0,293700.0
Iraque,1983,2210.0,1513.0
Senegal,1983,2353.0,3043.0
Suécia,1983,300955.0,326512.0
Dinamarca,1983,6500.0,10358.0
Bélgica,1983,111441.0,139901.0
Porto Rico,1983,33254.0,39023.0
Bolívia,1983,5938.0,5744.0
Estados Unidos,1983,1456645.0,1262357.0
França,1983,54429.0,79607.0
China,1983,45000.0,59550.0
Japão,1983,168675.0,249942.0
Suíça,1983,32741.0,34869.0
Reino Unido,1983,157472.0,164138.0
"Alemanha, República Democrática",1983,95060.0,90326.0
Panamá,1983,1560.0,2581.0
Arábia Saudita,1983,44160.0,53226.0
Tanzânia,1983,186.0,77.0
Chile,1983,2050.0,1281.0
Finlândia,1983,81620.0,73034.0
Canadá,1983,538248.0,579382.0
Venezuela,1983,19706.0,33201.0
"Alemanha, República Democrática da",1983,149990.0,176238.0
Coveite,1983,249365.0,320432.0
Finlândia,1984,115540.0,86712.0
"Alemanha, República Democrática",1984,204983.0,180556.0
Reino Unido,1984,199831.0,163232.0
Itália,1984,9711.0,8763.0
Panamá,1984,4240.0,4664.0
Bélgica,1984,96354.0,79159.0
Dinamarca,1984,9320.0,9953.0
Japão,1984,185750.0,239598.0
Filipinas,1984,2650.0,3309.0
Peru,1984,4170.0,1779.0
República Centro Africana,1984,180.0,123.0
França,1984,121827.0,98347.0
Argentina,1984,19375.0,20750.0
Cingapura,1984,9640.0,12578.0
Canadá,1984,182573.0,147397.0
China,1984,46800.0,64578.0
Áustria,1984,1160.0,1649.0
Países Baixos,1984,162042.0,159969.0
Suíça,1984,46047.0,39093.0
Nova Zelândia,1984,1060.0,1060.0
Barbados,1984,4536.0,5081.0
"Alemanha, República Democrática da",1984,300052.0,277596.0
Porto Rico,1984,86180.0,88615.0
Noruega,1984,6023.0,4775.0
Suécia,1984,238460.0,225160.0
Bolívia,1984,5810.0,6117.0
Arábia Saudita,1984,74200.0,96564.0
Estados Unidos,1984,1913447.0,1557973.0
Austrália,1984,1060.0,1060.0
Iraque,1984,7076.0,10763.0
Paraguai,1984,651261.0,294989.0
Paraguai,1985,1195928.0,581510.0
Dinamarca,1985,76011.0,70152.0
Coveite,1985,110240.0,114167.0
"Alemanha, República Democrática da",1985,150000.0,137250.0
Itália,1985,3474.0,3305.0
Japão,1985,251740.0,302445.0
Peru,1985,3600.0,1332.0
Estados Unidos,1985,2660162.0,1882142.0
Malásia,1985,6384.0,8907.0
Costa Rica,1985,168.0,220.0
Porto Rico,1985,243566.0,199178.0
Serra Leoa,1985,840.0,1355.0
Filipinas,1985,5300.0,7409.0
Trinidade Tobago,1985,4500.0,5750.0
Angola,1985,2063.0,4349.0
Finlândia,1985,154760.0,126021.0
"Alemanha, República Democrática",1985,115515.0,104918.0
Panamá,1985,6890.0,7319.0
França,1985,93526.0,79149.0
Suíça,1985,39937.0,35604.0
Hungria,1985,51612.0,43276.0
Cingapura,1985,10203.0,10598.0
Noruega,1985,10515.0,8390.0
Bélgica,1985,97383.0,95894.0
Trinidade e Tobago,1985,246.0,270.0
Argentina,1985,41510.0,38105.0
Reino Unido,1985,215222.0,182919.0
Arábia Saudita,1985,83740.0,95416.0
Países Baixos,1985,514510.0,453179.0
Outros(1),1985,3108.0,3822.0
Haiti,1985,6403.0,10630.0
Iraque,1985,9829.0,28705.0
Áustria,1985,2635.0,2143.0
Congo,1985,5026.0,6997.0
Taiwan (Formosa),1985,49690.0,48082.0
Suécia,1985,165775.0,162405.0
Bolívia,1985,51510.0,29002.0
Costa do Marfim,1985,2600.0,2392.0
Barbados,1985,1180.0,1639.0
Canadá,1985,661983.0,537600.0
Coveite,1986,50085.0,53090.0
Canada,1986,2165.0,2500.0
Itália,1986,7727.0,7771.0
Outros(1),1986,960.0,6223.0
Finlândia,1986,85860.0,78786.0
Países Baixos,1986,1177509.0,1049300.0
Reino Unido,1986,672233.0,632729.0
Anguilla,1986,130.0,80.0
Áustria,1986,2195.0,2251.0
Portugal,1986,160.0,318.0
Congo,1986,2083.0,2154.0
"Alemanha, República Democrática",1986,215392.0,198806.0
Austrália,1986,17680.0,20332.0
França,1986,128407.0,124462.0
Angola,1986,15575.0,19696.0
Estados Unidos,1986,2892172.0,2613431.0
Noruega,1986,61865.0,59295.0
Bolívia,1986,67998.0,48153.0
Paraguai,1986,2275032.0,1395271.0
Jordânia,1986,240.0,300.0
Hungria,1986,34408.0,25806.0
Uruguai,1986,120.0,98.0
Canadá,1986,1395426.0,1637186.0
Bélgica,1986,88893.0,90439.0
Argentina,1986,22125.0,19376.0
Suíça,1986,55772.0,56537.0
Arábia Saudita,1986,154760.0,159490.0
Iraque,1986,3030.0,11342.0
Malásia,1986,10611.0,13367.0
Senegal,1986,4000.0,3600.0
Trinidade e Tobago,1986,202685.0,243957.0
Porto Rico,1986,213590.0,192723.0
Dinamarca,1986,30080.0,41999.0
Cingapura,1986,4032.0,4233.0
Japão,1986,224971.0,273877.0
Suécia,1986,262025.0,245907.0
Malásia,1987,15020.0,21788.0
Argentina,1987,20540.0,15215.0
Costa Rica,1987,750.0,887.0
Coveite,1987,99905.0,94909.0
Trinidade e Tobago,1987,110240.0,153894.0
Finlândia,1987,214580.0,268998.0
Outros(1),1987,36.0,299.0
Porto Rico,1987,130420.0,158520.0
Suécia,1987,331203.0,409052.0
Estados Unidos,1987,2075537.0,2498653.0
França,1987,55002.0,58950.0
Dinamarca,1987,40379.0,47558.0
Anguilla,1987,324.0,106.0
Cingapura,1987,6216.0,7392.0
"Alemanha, República Democrática",1987,67922.0,63501.0
Panamá,1987,2650.0,3675.0
Senegal,1987,1200.0,1080.0
Portugal,1987,7104.0,8451.0
Arábia Saudita,1987,16165.0,19155.0
Suíça,1987,18636.0,17831.0
"Alemanha, República Democrática da",1987,150000.0,148500.0
Países Baixos,1987,423177.0,396606.0
Bélgica,1987,81663.0,83974.0
Angola,1987,8596.0,11350.0
Reino Unido,1987,504949.0,632396.0
Noruega,1987,74799.0,96963.0
Iraque,1987,86.0,255.0
Paraguai,1987,877826.0,697247.0
Canadá,1987,913570.0,1022708.0
Bolívia,1987,70077.0,72994.0
Áustria,1987,400.0,360.0
Itália,1987,12736.0,12217.0
Líbano,1987,4698.0,2409.0
Japão,1987,608540.0,982113.0
Guiana Francesa,1987,455.0,654.0
Finlândia,1988,106530.0,142746.0
Uruguai,1988,4220.0,2121.0
"Alemanha, República Democrática",1988,426099.0,409211.0
Suécia,1988,308729.0,406043.0
Arábia Saudita,1988,43460.0,51647.0
Noruega,1988,560.0,565.0
Costa do Marfim,1988,1572.0,1414.0
Angola,1988,35223.0,51026.0
Guiana Francesa,1988,10008.0,13184.0
El Salvador,1988,1550.0,1267.0
Outros(1),1988,14538.0,48908.0
Cabo Verde,1988,122.0,201.0
Países Baixos,1988,1187797.0,1223924.0
Paraguai,1988,958659.0,411793.0
Indonésia,1988,2120.0,3737.0
Espanha,1988,1000.0,900.0
Bélgica,1988,225790.0,219898.0
Barbados,1988,1594.0,2286.0
Bolívia,1988,26556.0,18493.0
Estados Unidos,1988,3556784.0,3714913.0
Cingapura,1988,22165.0,28491.0
Coveite,1988,99905.0,109895.0
Argentina,1988,14760.0,18576.0
Portugal,1988,55598.0,61694.0
Suíça,1988,40706.0,39582.0
França,1988,112751.0,111516.0
Japão,1988,901685.0,1660216.0
Áustria,1988,2628.0,3833.0
Reino Unido,1988,935913.0,1123530.0
Austrália,1988,16960.0,20064.0
Malásia,1988,30248.0,41997.0
Senegal,1988,3480.0,3132.0
Porto Rico,1988,183495.0,233528.0
Panamá,1988,1600.0,1980.0
Líbano,1988,16906.0,9673.0
Trinidade e Tobago,1988,55120.0,76947.0
Dinamarca,1988,111078.0,137998.0
Canadá,1988,438757.0,487364.0
"Alemanha, República Democrática",1989,254013.0,228943.0
Reino Unido,1989,687115.0,659314.0
Dinamarca,1989,54612.0,63686.0
Nova Zelândia,1989,11929.0,20686.0
Canadá,1989,812134.0,889792.0
"Alemanha, República Democrática da",1989,150000.0,199500.0
Estados Unidos,1989,5724307.0,7118194.0
Cingapura,1989,1060.0,1802.0
Chile,1989,900.0,1800.0
Bolívia,1989,34023.0,34279.0
Suíça,1989,150239.0,186035.0
Angola,1989,9674.0,31433.0
Senegal,1989,1440.0,1296.0
Finlândia,1989,71020.0,98362.0
Áustria,1989,1888.0,889.0
Países Baixos,1989,649262.0,647857.0
Arábia Saudita,1989,13250.0,16993.0
Bélgica,1989,69116.0,63379.0
França,1989,81748.0,81346.0
Porto Rico,1989,201708.0,285511.0
Itália,1989,4347.0,3911.0
Paraguai,1989,1721269.0,951564.0
Haiti,1989,8009.0,34670.0
Costa do Marfim,1989,2560.0,2304.0
Noruega,1989,53265.0,72794.0
Suécia,1989,319979.0,442433.0
Antilhas Holandesas,1989,540.0,1326.0
Cabo Verde,1989,16.0,23.0
Austrália,1989,33920.0,47190.0
Portugal,1989,38964.0,36229.0
Uruguai,1989,13396.0,4438.0
Outros(1),1989,5112.0,3075.0
Malásia,1989,19080.0,29463.0
Japão,1989,715792.0,1447778.0
Países Baixos,1990,804993.0,915226.0
Honduras,1990,2025.0,4387.0
Cingapura,1990,9530.0,15476.0
Itália,1990,3564.0,3206.0
Dinamarca,1990,62066.0,74030.0
Senegal,1990,11308.0,10176.0
Bolívia,1990,1953.0,2286.0
Suécia,1990,231174.0,388634.0
Malásia,1990,34980.0,62952.0
Finlândia,1990,17755.0,24857.0
Antilhas Holandesas,1990,1080.0,2652.0
Trinidade e Tobago,1990,43990.0,96778.0
Suíça,1990,74980.0,67719.0
Paraguai,1990,818637.0,599527.0
Estados Unidos,1990,6676013.0,9099465.0
Noruega,1990,18023.0,25501.0
Bélgica,1990,154695.0,139114.0
Coveite,1990,99905.0,119886.0
Japão,1990,747000.0,1530850.0
Costa Rica,1990,3097.0,4725.0
França,1990,87727.0,91580.0
Porto Rico,1990,159025.0,267708.0
Reino Unido,1990,550499.0,1086786.0
Uruguai,1990,10004.0,3842.0
"Alemanha, República Democrática",1990,153036.0,137699.0
Canadá,1990,674308.0,1024920.0
Argentina,1990,6300.0,15000.0
Cabo Verde,1990,445.0,738.0
Portugal,1990,33186.0,29738.0
Angola,1990,930.0,1090.0
Arábia Saudita,1990,15900.0,19080.0
Noruega,1991,447.0,1200.0
Suécia,1991,231817.0,352428.0
Bélgica,1991,73674.0,83062.0
Outros(1),1991,35306.0,25786.0
Bolívia,1991,8863.0,15235.0
Finlândia,1991,17755.0,31071.0
Canadá,1991,156216.0,229730.0
Cingapura,1991,12710.0,22664.0
Senegal,1991,6272.0,5643.0
Angola,1991,725.0,1330.0
Dinamarca,1991,38870.0,47951.0
Trinidade e Tobago,1991,18567.0,38832.0
Suíça,1991,61804.0,57128.0
Itália,1991,5662.0,5118.0
Países Baixos,1991,1435388.0,2817275.0
França,1991,87237.0,68435.0
Japão,1991,969998.0,1659414.0
Uruguai,1991,21430.0,13313.0
Argentina,1991,238141.0,287608.0
Estados Unidos,1991,3878908.0,4940584.0
Arábia Saudita,1991,37100.0,55110.0
Portugal,1991,17481.0,19823.0
Reino Unido,1991,871744.0,2716735.0
"Alemanha, República Democrática",1991,84860.0,78885.0
Malásia,1991,38340.0,68763.0
Porto Rico,1991,160345.0,254178.0
Paraguai,1991,1708067.0,1134227.0
Antilhas Holandesas,1991,1080.0,2640.0
Trinidade Tobago,1991,2323.0,5340.0
Suíça,1992,91294.0,99855.0
França,1992,535980.0,527046.0
Cuba,1992,172.0,468.0
"Alemanha, República Democrática da",1992,36400.0,48230.0
Antilhas Holandesas,1992,2202.0,3836.0
Dinamarca,1992,45479.0,35516.0
Argentina,1992,1969759.0,2082201.0
Uruguai,1992,34092.0,37570.0
Reino Unido,1992,1464613.0,1712570.0
Angola,1992,652.0,1561.0
Senegal,1992,4352.0,3916.0
Líbano,1992,1350.0,6400.0
Paraguai,1992,2466578.0,1447562.0
Espanha,1992,21949.0,59106.0
Países Baixos,1992,2535529.0,2888630.0
Arábia Saudita,1992,37100.0,48363.0
Camarões,1992,31.0,40.0
Tunísia,1992,106.0,217.0
"Alemanha, República Democrática",1992,51585.0,53319.0
Cabo Verde,1992,1376.0,1824.0
Trinidade e Tobago,1992,17490.0,30869.0
Bolívia,1992,15982.0,12089.0
Estados Unidos,1992,12510527.0,14344846.0
Outros(1),1992,628.0,1606.0
Bélgica,1992,48992.0,45183.0
Suécia,1992,176755.0,261005.0
Itália,1992,25464.0,21653.0
Malásia,1992,35196.0,51687.0
Japão,1992,817778.0,1350673.0
Portugal,1992,48568.0,54335.0
Nigéria,1992,30444.0,16909.0
Cingapura,1992,5144.0,8830.0
Honduras,1992,6874.0,10220.0
Canadá,1992,709569.0,901699.0
Porto Rico,1992,279860.0,381102.0
Bélgica,1993,92796.0,110190.0
México,1993,769560.0,704455.0
Canadá,1993,990638.0,1158151.0
Bahamas,1993,18550.0,18550.0
Finlândia,1993,17755.0,20370.0
Honduras,1993,7606.0,10060.0
Nigéria,1993,450.0,448.0
República Federativa da Rússia,1993,63.0,112.0
Arábia Saudita,1993,80030.0,107203.0
Equador,1993,18720.0,29406.0
Bolívia,1993,10682.0,33442.0
Paraguai,1993,13502387.0,7252763.0
Uruguai,1993,64835.0,68727.0
Japão,1993,1316462.0,2213471.0
Angola,1993,1811.0,4831.0
Antilhas Holandesas,1993,3434.0,8448.0
Suíça,1993,76303.0,79136.0
Chile,1993,160.0,128.0
Argentina,1993,3519531.0,3503685.0
"Alemanha, República Democrática",1993,272018.0,289402.0
Países Baixos,1993,5666564.0,7086954.0
"Alemanha, República Democrática da",1993,90480.0,124040.0
Sri Lanka,1993,1060.0,1359.0
Trinidade Tobago,1993,1360.0,3048.0
Porto Rico,1993,348225.0,454992.0
Suécia,1993,124815.0,165891.0
Estados Unidos,1993,11875648.0,13614880.0
França,1993,704427.0,782430.0
Dinamarca,1993,27245.0,36872.0
